"","x"
"368","Erythroid_CD34+ CD71+ GlyA-"
"369","Common myeloid progenitors"
"370","Hematopoietic stem cells_CD133+ CD34dim"
"371","Hematopoietic stem cells_CD133+ CD34dim"
"372","Hematopoietic stem cells_CD133+ CD34dim"
"373","Granulocyte/monocyte progenitors"
"374","Hematopoietic stem cells_CD133+ CD34dim"
"375","Megakaryocyte/erythroid progenitors"
"376","Colony Forming Unit-Monocytes"
"377","Early B cells"
"378","Hematopoietic stem cells_CD133+ CD34dim"
"379","Hematopoietic stem cells_CD133+ CD34dim"
"380","Colony Forming Unit-Monocytes"
"381","Hematopoietic stem cells_CD133+ CD34dim"
"382","Early B cells"
"383","Common myeloid progenitors"
"384","Hematopoietic stem cells_CD133+ CD34dim"
"385","Early B cells"
"386","Plasmacytoid Dendritic Cells"
"387","Erythroid_CD34+ CD71+ GlyA-"
"388","Hematopoietic stem cells_CD133+ CD34dim"
"389","Common myeloid progenitors"
"390","Erythroid_CD34+ CD71+ GlyA-"
"391","Erythroid_CD34+ CD71+ GlyA-"
"392","Hematopoietic stem cells_CD133+ CD34dim"
"393","Hematopoietic stem cells_CD133+ CD34dim"
"394","Hematopoietic stem cells_CD133+ CD34dim"
"395","Erythroid_CD34+ CD71+ GlyA-"
"396","Hematopoietic stem cells_CD133+ CD34dim"
"397","Colony Forming Unit-Monocytes"
"398","Hematopoietic stem cells_CD133+ CD34dim"
"399","Early B cells"
"400","Hematopoietic stem cells_CD133+ CD34dim"
"401","Hematopoietic stem cells_CD133+ CD34dim"
"402","Common myeloid progenitors"
"403","Colony Forming Unit-Monocytes"
"404","Common myeloid progenitors"
"405","Hematopoietic stem cells_CD133+ CD34dim"
"406","Erythroid_CD34+ CD71+ GlyA-"
"407","Early B cells"
"408","Naïve B cells"
"409","Erythroid_CD34+ CD71+ GlyA-"
"410","Hematopoietic stem cells_CD133+ CD34dim"
"411","Plasmacytoid Dendritic Cells"
"412","Early B cells"
"413","Hematopoietic stem cells_CD133+ CD34dim"
"414","Erythroid_CD34+ CD71+ GlyA-"
"415","Erythroid_CD34+ CD71+ GlyA-"
"416","Hematopoietic stem cells_CD133+ CD34dim"
"417","Colony Forming Unit-Monocytes"
"418","Erythroid_CD34+ CD71+ GlyA-"
"419","Common myeloid progenitors"
"420","Hematopoietic stem cells_CD133+ CD34dim"
"421","Common myeloid progenitors"
"422","Hematopoietic stem cells_CD133+ CD34dim"
"423","Colony Forming Unit-Monocytes"
"424","Hematopoietic stem cells_CD133+ CD34dim"
"425","Hematopoietic stem cells_CD133+ CD34dim"
"426","Plasmacytoid Dendritic Cells"
"427","Common myeloid progenitors"
"428","Erythroid_CD34+ CD71+ GlyA-"
"429","Hematopoietic stem cells_CD133+ CD34dim"
"430","Erythroid_CD34+ CD71+ GlyA-"
"431","Megakaryocyte/erythroid progenitors"
"432","Common myeloid progenitors"
"433","Common myeloid progenitors"
"434","Hematopoietic stem cells_CD133+ CD34dim"
"435","Hematopoietic stem cells_CD133+ CD34dim"
"436","Common myeloid progenitors"
"437","Hematopoietic stem cells_CD133+ CD34dim"
"438","Hematopoietic stem cells_CD133+ CD34dim"
"439","Hematopoietic stem cells_CD133+ CD34dim"
"440","Early B cells"
"441","Common myeloid progenitors"
"442","Megakaryocyte/erythroid progenitors"
"443","Hematopoietic stem cells_CD133+ CD34dim"
"444","Early B cells"
"445","Erythroid_CD34+ CD71+ GlyA-"
"446","Erythroid_CD34- CD71+ GlyA-"
"447","Hematopoietic stem cells_CD133+ CD34dim"
"448","Early B cells"
"449","Common myeloid progenitors"
"450","Hematopoietic stem cells_CD133+ CD34dim"
"451","Plasmacytoid Dendritic Cells"
"452","Erythroid_CD34+ CD71+ GlyA-"
"453","Early B cells"
"454","Erythroid_CD34+ CD71+ GlyA-"
"455","Common myeloid progenitors"
"456","Early B cells"
"457","Hematopoietic stem cells_CD133+ CD34dim"
"458","Erythroid_CD34+ CD71+ GlyA-"
"459","Megakaryocyte/erythroid progenitors"
"460","Hematopoietic stem cells_CD133+ CD34dim"
"461","Hematopoietic stem cells_CD133+ CD34dim"
"462","Common myeloid progenitors"
"463","Hematopoietic stem cells_CD133+ CD34dim"
"464","Hematopoietic stem cells_CD133+ CD34dim"
"465","Colony Forming Unit-Monocytes"
"466","Hematopoietic stem cells_CD133+ CD34dim"
"467","Common myeloid progenitors"
"468","Early B cells"
"469","Plasmacytoid Dendritic Cells"
"470","Hematopoietic stem cells_CD133+ CD34dim"
"471","Colony Forming Unit-Monocytes"
"472","Common myeloid progenitors"
"473","Early B cells"
"474","Erythroid_CD34+ CD71+ GlyA-"
"475","Common myeloid progenitors"
"476","Common myeloid progenitors"
"477","Hematopoietic stem cells_CD133+ CD34dim"
"478","Plasmacytoid Dendritic Cells"
"479","Hematopoietic stem cells_CD133+ CD34dim"
"480","Myeloid Dendritic Cells"
"481","Hematopoietic stem cells_CD133+ CD34dim"
"482","Hematopoietic stem cells_CD133+ CD34dim"
"483","Common myeloid progenitors"
"484","Hematopoietic stem cells_CD133+ CD34dim"
"485","Hematopoietic stem cells_CD133+ CD34dim"
"486","Hematopoietic stem cells_CD133+ CD34dim"
"487","Hematopoietic stem cells_CD133+ CD34dim"
"488","Myeloid Dendritic Cells"
"489","Erythroid_CD34+ CD71+ GlyA-"
"490","Hematopoietic stem cells_CD133+ CD34dim"
"491","Common myeloid progenitors"
"492","Hematopoietic stem cells_CD133+ CD34dim"
