"","x"
"2675","Early B cells"
"2676","Megakaryocyte/erythroid progenitors"
"2677","Hematopoietic stem cells_CD133+ CD34dim"
"2678","Plasmacytoid Dendritic Cells"
"2679","Hematopoietic stem cells_CD133+ CD34dim"
"2680","Erythroid_CD34- CD71+ GlyA-"
"2681","Common myeloid progenitors"
"2682","Erythroid_CD34+ CD71+ GlyA-"
"2683","Common myeloid progenitors"
"2684","Hematopoietic stem cells_CD133+ CD34dim"
"2685","Early B cells"
"2686","Erythroid_CD34+ CD71+ GlyA-"
"2687","Hematopoietic stem cells_CD133+ CD34dim"
"2688","Hematopoietic stem cells_CD133+ CD34dim"
"2689","Megakaryocyte/erythroid progenitors"
"2690","Common myeloid progenitors"
"2691","Common myeloid progenitors"
"2692","Common myeloid progenitors"
"2693","Erythroid_CD34- CD71+ GlyA-"
"2694","Early B cells"
"2695","Megakaryocyte/erythroid progenitors"
"2696","Megakaryocyte/erythroid progenitors"
"2697","Megakaryocyte/erythroid progenitors"
"2698","Erythroid_CD34+ CD71+ GlyA-"
"2699","Hematopoietic stem cells_CD133+ CD34dim"
"2700","Common myeloid progenitors"
"2701","Hematopoietic stem cells_CD133+ CD34dim"
"2702","Hematopoietic stem cells_CD133+ CD34dim"
"2703","Megakaryocyte/erythroid progenitors"
"2704","Hematopoietic stem cells_CD133+ CD34dim"
"2705","Common myeloid progenitors"
"2706","Erythroid_CD34+ CD71+ GlyA-"
"2707","Common myeloid progenitors"
"2708","Megakaryocyte/erythroid progenitors"
"2709","Hematopoietic stem cells_CD133+ CD34dim"
"2710","Hematopoietic stem cells_CD133+ CD34dim"
"2711","Hematopoietic stem cells_CD133+ CD34dim"
"2712","Megakaryocyte/erythroid progenitors"
"2713","Hematopoietic stem cells_CD133+ CD34dim"
"2714","Colony Forming Unit-Monocytes"
"2715","Erythroid_CD34- CD71+ GlyA+"
"2716","Hematopoietic stem cells_CD133+ CD34dim"
"2717","Hematopoietic stem cells_CD133+ CD34dim"
"2718","Hematopoietic stem cells_CD133+ CD34dim"
"2719","Hematopoietic stem cells_CD133+ CD34dim"
"2720","Hematopoietic stem cells_CD133+ CD34dim"
"2721","Erythroid_CD34+ CD71+ GlyA-"
"2722","Hematopoietic stem cells_CD133+ CD34dim"
"2723","Hematopoietic stem cells_CD133+ CD34dim"
"2724","Hematopoietic stem cells_CD133+ CD34dim"
"2725","Hematopoietic stem cells_CD133+ CD34dim"
"2726","Megakaryocyte/erythroid progenitors"
"2727","Hematopoietic stem cells_CD133+ CD34dim"
"2728","Hematopoietic stem cells_CD133+ CD34dim"
"2729","Early B cells"
"2730","Hematopoietic stem cells_CD133+ CD34dim"
"2731","Common myeloid progenitors"
"2732","Hematopoietic stem cells_CD133+ CD34dim"
"2733","Hematopoietic stem cells_CD133+ CD34dim"
"2734","Common myeloid progenitors"
"2735","Hematopoietic stem cells_CD38- CD34+"
"2736","Erythroid_CD34+ CD71+ GlyA-"
"2737","Common myeloid progenitors"
"2738","Hematopoietic stem cells_CD133+ CD34dim"
"2739","Hematopoietic stem cells_CD133+ CD34dim"
"2740","Hematopoietic stem cells_CD133+ CD34dim"
"2741","Naïve B cells"
"2742","Hematopoietic stem cells_CD133+ CD34dim"
"2743","Hematopoietic stem cells_CD133+ CD34dim"
"2744","Hematopoietic stem cells_CD133+ CD34dim"
"2745","Hematopoietic stem cells_CD133+ CD34dim"
"2746","Colony Forming Unit-Monocytes"
"2747","Hematopoietic stem cells_CD133+ CD34dim"
"2748","Erythroid_CD34+ CD71+ GlyA-"
"2749","Common myeloid progenitors"
"2750","Hematopoietic stem cells_CD133+ CD34dim"
"2751","Erythroid_CD34+ CD71+ GlyA-"
"2752","Monocytes"
"2753","Early B cells"
"2754","Megakaryocyte/erythroid progenitors"
"2755","Common myeloid progenitors"
"2756","Common myeloid progenitors"
"2757","Erythroid_CD34- CD71+ GlyA-"
"2758","Hematopoietic stem cells_CD133+ CD34dim"
"2759","Hematopoietic stem cells_CD133+ CD34dim"
"2760","Erythroid_CD34+ CD71+ GlyA-"
"2761","Hematopoietic stem cells_CD133+ CD34dim"
"2762","Hematopoietic stem cells_CD133+ CD34dim"
"2763","Hematopoietic stem cells_CD133+ CD34dim"
"2764","Hematopoietic stem cells_CD133+ CD34dim"
"2765","Hematopoietic stem cells_CD133+ CD34dim"
"2766","Hematopoietic stem cells_CD133+ CD34dim"
"2767","Early B cells"
"2768","Hematopoietic stem cells_CD133+ CD34dim"
"2769","Hematopoietic stem cells_CD133+ CD34dim"
"2770","Myeloid Dendritic Cells"
"2771","Hematopoietic stem cells_CD133+ CD34dim"
"2772","Hematopoietic stem cells_CD133+ CD34dim"
"2773","Megakaryocyte/erythroid progenitors"
"2774","Early B cells"
"2775","Erythroid_CD34+ CD71+ GlyA-"
"2776","Common myeloid progenitors"
"2777","Megakaryocyte/erythroid progenitors"
"2778","Hematopoietic stem cells_CD133+ CD34dim"
"2779","Hematopoietic stem cells_CD133+ CD34dim"
"2780","Myeloid Dendritic Cells"
"2781","Early B cells"
"2782","Erythroid_CD34- CD71lo GlyA+"
"2783","Hematopoietic stem cells_CD133+ CD34dim"
"2784","Hematopoietic stem cells_CD133+ CD34dim"
"2785","Early B cells"
"2786","Megakaryocyte/erythroid progenitors"
"2787","Hematopoietic stem cells_CD133+ CD34dim"
"2788","Hematopoietic stem cells_CD133+ CD34dim"
"2789","Hematopoietic stem cells_CD133+ CD34dim"
"2790","Hematopoietic stem cells_CD133+ CD34dim"
"2791","Hematopoietic stem cells_CD133+ CD34dim"
"2792","Megakaryocyte/erythroid progenitors"
"2793","Early B cells"
"2794","Hematopoietic stem cells_CD133+ CD34dim"
"2795","Hematopoietic stem cells_CD133+ CD34dim"
"2796","Early B cells"
"2797","Early B cells"
"2798","Hematopoietic stem cells_CD133+ CD34dim"
"2799","Hematopoietic stem cells_CD133+ CD34dim"
"2800","Hematopoietic stem cells_CD133+ CD34dim"
"2801","Myeloid Dendritic Cells"
"2802","Common myeloid progenitors"
"2803","Hematopoietic stem cells_CD133+ CD34dim"
"2804","Myeloid Dendritic Cells"
"2805","Erythroid_CD34+ CD71+ GlyA-"
"2806","Early B cells"
"2807","Hematopoietic stem cells_CD133+ CD34dim"
"2808","Hematopoietic stem cells_CD133+ CD34dim"
"2809","Hematopoietic stem cells_CD133+ CD34dim"
"2810","Common myeloid progenitors"
"2811","Common myeloid progenitors"
"2812","Hematopoietic stem cells_CD133+ CD34dim"
"2813","Hematopoietic stem cells_CD133+ CD34dim"
"2814","Colony Forming Unit-Monocytes"
"2815","Naïve B cells"
"2816","Common myeloid progenitors"
"2817","Common myeloid progenitors"
"2818","Common myeloid progenitors"
"2819","Early B cells"
"2820","Erythroid_CD34+ CD71+ GlyA-"
"2821","Hematopoietic stem cells_CD133+ CD34dim"
"2822","Erythroid_CD34- CD71+ GlyA+"
"2823","Hematopoietic stem cells_CD133+ CD34dim"
"2824","Common myeloid progenitors"
"2825","Hematopoietic stem cells_CD133+ CD34dim"
"2826","Plasmacytoid Dendritic Cells"
"2827","Myeloid Dendritic Cells"
"2828","Hematopoietic stem cells_CD133+ CD34dim"
"2829","Hematopoietic stem cells_CD133+ CD34dim"
"2830","Erythroid_CD34- CD71+ GlyA+"
"2831","Hematopoietic stem cells_CD133+ CD34dim"
"2832","Erythroid_CD34+ CD71+ GlyA-"
"2833","Megakaryocyte/erythroid progenitors"
"2834","Hematopoietic stem cells_CD133+ CD34dim"
"2835","Colony Forming Unit-Monocytes"
"2836","Hematopoietic stem cells_CD133+ CD34dim"
"2837","Erythroid_CD34+ CD71+ GlyA-"
"2838","Common myeloid progenitors"
"2839","Hematopoietic stem cells_CD133+ CD34dim"
"2840","Common myeloid progenitors"
"2841","Common myeloid progenitors"
"2842","Hematopoietic stem cells_CD133+ CD34dim"
"2843","Erythroid_CD34+ CD71+ GlyA-"
"2844","Hematopoietic stem cells_CD133+ CD34dim"
"2845","Common myeloid progenitors"
"2846","Hematopoietic stem cells_CD133+ CD34dim"
"2847","Erythroid_CD34+ CD71+ GlyA-"
"2848","Erythroid_CD34+ CD71+ GlyA-"
"2849","Hematopoietic stem cells_CD133+ CD34dim"
"2850","Erythroid_CD34+ CD71+ GlyA-"
"2851","Erythroid_CD34- CD71+ GlyA+"
"2852","Common myeloid progenitors"
"2853","Early B cells"
"2854","Hematopoietic stem cells_CD133+ CD34dim"
"2855","Hematopoietic stem cells_CD133+ CD34dim"
"2856","Erythroid_CD34+ CD71+ GlyA-"
"2857","Hematopoietic stem cells_CD133+ CD34dim"
"2858","Early B cells"
"2859","Hematopoietic stem cells_CD133+ CD34dim"
"2860","Early B cells"
"2861","Megakaryocyte/erythroid progenitors"
"2862","Common myeloid progenitors"
"2863","Erythroid_CD34+ CD71+ GlyA-"
"2864","Hematopoietic stem cells_CD133+ CD34dim"
"2865","Colony Forming Unit-Monocytes"
"2866","Erythroid_CD34+ CD71+ GlyA-"
"2867","Plasmacytoid Dendritic Cells"
"2868","Early B cells"
"2869","Hematopoietic stem cells_CD133+ CD34dim"
"2870","Erythroid_CD34+ CD71+ GlyA-"
"2871","Megakaryocyte/erythroid progenitors"
"2872","Hematopoietic stem cells_CD133+ CD34dim"
"2873","Hematopoietic stem cells_CD133+ CD34dim"
"2874","Hematopoietic stem cells_CD133+ CD34dim"
"2875","Common myeloid progenitors"
"2876","Common myeloid progenitors"
"2877","Erythroid_CD34- CD71lo GlyA+"
"2878","Myeloid Dendritic Cells"
"2879","Hematopoietic stem cells_CD133+ CD34dim"
"2880","Early B cells"
"2881","Early B cells"
"2882","Erythroid_CD34- CD71lo GlyA+"
"2883","Erythroid_CD34+ CD71+ GlyA-"
"2884","Hematopoietic stem cells_CD133+ CD34dim"
"2885","Early B cells"
"2886","Erythroid_CD34+ CD71+ GlyA-"
"2887","Hematopoietic stem cells_CD133+ CD34dim"
"2888","Erythroid_CD34+ CD71+ GlyA-"
"2889","Erythroid_CD34+ CD71+ GlyA-"
"2890","Hematopoietic stem cells_CD133+ CD34dim"
"2891","Hematopoietic stem cells_CD133+ CD34dim"
"2892","Erythroid_CD34+ CD71+ GlyA-"
"2893","Megakaryocyte/erythroid progenitors"
"2894","Hematopoietic stem cells_CD133+ CD34dim"
"2895","Common myeloid progenitors"
"2896","Hematopoietic stem cells_CD133+ CD34dim"
"2897","Hematopoietic stem cells_CD133+ CD34dim"
"2898","Hematopoietic stem cells_CD133+ CD34dim"
"2899","Hematopoietic stem cells_CD133+ CD34dim"
"2900","Plasmacytoid Dendritic Cells"
"2901","Plasmacytoid Dendritic Cells"
"2902","Erythroid_CD34+ CD71+ GlyA-"
"2903","Hematopoietic stem cells_CD133+ CD34dim"
"2904","Common myeloid progenitors"
"2905","Colony Forming Unit-Granulocytes"
"2906","Erythroid_CD34+ CD71+ GlyA-"
"2907","Hematopoietic stem cells_CD133+ CD34dim"
"2908","Erythroid_CD34- CD71+ GlyA+"
"2909","Common myeloid progenitors"
"2910","Common myeloid progenitors"
"2911","Common myeloid progenitors"
"2912","Hematopoietic stem cells_CD133+ CD34dim"
"2913","Common myeloid progenitors"
"2914","Hematopoietic stem cells_CD133+ CD34dim"
"2915","Megakaryocyte/erythroid progenitors"
"2916","Common myeloid progenitors"
"2917","Megakaryocyte/erythroid progenitors"
"2918","Early B cells"
"2919","Hematopoietic stem cells_CD133+ CD34dim"
"2920","Erythroid_CD34+ CD71+ GlyA-"
"2921","Hematopoietic stem cells_CD133+ CD34dim"
"2922","Hematopoietic stem cells_CD133+ CD34dim"
"2923","Hematopoietic stem cells_CD133+ CD34dim"
"2924","Early B cells"
"2925","Megakaryocyte/erythroid progenitors"
"2926","Hematopoietic stem cells_CD133+ CD34dim"
"2927","Hematopoietic stem cells_CD133+ CD34dim"
"2928","Erythroid_CD34+ CD71+ GlyA-"
"2929","Early B cells"
"2930","Erythroid_CD34- CD71+ GlyA+"
"2931","Early B cells"
"2932","Megakaryocyte/erythroid progenitors"
"2933","Colony Forming Unit-Monocytes"
"2934","Megakaryocyte/erythroid progenitors"
"2935","Common myeloid progenitors"
"2936","Common myeloid progenitors"
"2937","Hematopoietic stem cells_CD133+ CD34dim"
"2938","Common myeloid progenitors"
"2939","Hematopoietic stem cells_CD133+ CD34dim"
"2940","Hematopoietic stem cells_CD133+ CD34dim"
"2941","Erythroid_CD34+ CD71+ GlyA-"
"2942","Erythroid_CD34+ CD71+ GlyA-"
"2943","Common myeloid progenitors"
"2944","Erythroid_CD34+ CD71+ GlyA-"
"2945","Common myeloid progenitors"
"2946","Erythroid_CD34+ CD71+ GlyA-"
"2947","Hematopoietic stem cells_CD133+ CD34dim"
"2948","Granulocyte/monocyte progenitors"
"2949","Hematopoietic stem cells_CD133+ CD34dim"
"2950","Erythroid_CD34+ CD71+ GlyA-"
"2951","Common myeloid progenitors"
"2952","Erythroid_CD34- CD71+ GlyA-"
"2953","Hematopoietic stem cells_CD133+ CD34dim"
"2954","Plasmacytoid Dendritic Cells"
"2955","Early B cells"
"2956","Common myeloid progenitors"
"2957","Hematopoietic stem cells_CD133+ CD34dim"
"2958","Hematopoietic stem cells_CD133+ CD34dim"
"2959","Erythroid_CD34+ CD71+ GlyA-"
"2960","Early B cells"
"2961","Colony Forming Unit-Monocytes"
"2962","Erythroid_CD34+ CD71+ GlyA-"
"2963","Common myeloid progenitors"
"2964","Common myeloid progenitors"
"2965","Megakaryocyte/erythroid progenitors"
"2966","Hematopoietic stem cells_CD133+ CD34dim"
"2967","Hematopoietic stem cells_CD133+ CD34dim"
"2968","Hematopoietic stem cells_CD133+ CD34dim"
"2969","Early B cells"
"2970","Hematopoietic stem cells_CD133+ CD34dim"
"2971","Hematopoietic stem cells_CD133+ CD34dim"
"2972","Common myeloid progenitors"
"2973","Common myeloid progenitors"
"2974","Hematopoietic stem cells_CD133+ CD34dim"
"2975","Hematopoietic stem cells_CD133+ CD34dim"
"2976","Megakaryocyte/erythroid progenitors"
"2977","Hematopoietic stem cells_CD133+ CD34dim"
"2978","Erythroid_CD34+ CD71+ GlyA-"
"2979","Myeloid Dendritic Cells"
"2980","Early B cells"
"2981","Erythroid_CD34- CD71+ GlyA+"
"2982","Hematopoietic stem cells_CD133+ CD34dim"
"2983","Hematopoietic stem cells_CD133+ CD34dim"
"2984","Early B cells"
"2985","Megakaryocyte/erythroid progenitors"
"2986","Hematopoietic stem cells_CD133+ CD34dim"
"2987","Hematopoietic stem cells_CD133+ CD34dim"
"2988","Hematopoietic stem cells_CD133+ CD34dim"
"2989","Hematopoietic stem cells_CD133+ CD34dim"
"2990","Erythroid_CD34+ CD71+ GlyA-"
"2991","Hematopoietic stem cells_CD133+ CD34dim"
"2992","Hematopoietic stem cells_CD133+ CD34dim"
"2993","Common myeloid progenitors"
"2994","Early B cells"
"2995","Hematopoietic stem cells_CD133+ CD34dim"
"2996","Erythroid_CD34+ CD71+ GlyA-"
"2997","Early B cells"
"2998","Common myeloid progenitors"
"2999","Common myeloid progenitors"
"3000","Common myeloid progenitors"
"3001","Megakaryocyte/erythroid progenitors"
"3002","Granulocyte/monocyte progenitors"
"3003","Erythroid_CD34+ CD71+ GlyA-"
"3004","Erythroid_CD34+ CD71+ GlyA-"
"3005","Hematopoietic stem cells_CD133+ CD34dim"
"3006","Erythroid_CD34+ CD71+ GlyA-"
"3007","Early B cells"
"3008","Hematopoietic stem cells_CD133+ CD34dim"
"3009","Erythroid_CD34+ CD71+ GlyA-"
"3010","Hematopoietic stem cells_CD133+ CD34dim"
"3011","Hematopoietic stem cells_CD133+ CD34dim"
"3012","Early B cells"
"3013","Early B cells"
"3014","Hematopoietic stem cells_CD133+ CD34dim"
"3015","Hematopoietic stem cells_CD133+ CD34dim"
"3016","Common myeloid progenitors"
"3017","Plasmacytoid Dendritic Cells"
"3018","Hematopoietic stem cells_CD133+ CD34dim"
"3019","Hematopoietic stem cells_CD133+ CD34dim"
"3020","Hematopoietic stem cells_CD133+ CD34dim"
"3021","Erythroid_CD34+ CD71+ GlyA-"
"3022","Erythroid_CD34+ CD71+ GlyA-"
"3023","Hematopoietic stem cells_CD133+ CD34dim"
"3024","Common myeloid progenitors"
"3025","Early B cells"
"3026","Hematopoietic stem cells_CD133+ CD34dim"
"3027","Hematopoietic stem cells_CD133+ CD34dim"
"3028","Erythroid_CD34+ CD71+ GlyA-"
"3029","Naïve B cells"
"3030","Hematopoietic stem cells_CD133+ CD34dim"
"3031","Erythroid_CD34- CD71+ GlyA+"
"3032","Common myeloid progenitors"
"3033","Early B cells"
"3034","Colony Forming Unit-Monocytes"
"3035","Colony Forming Unit-Monocytes"
"3036","Hematopoietic stem cells_CD133+ CD34dim"
"3037","Hematopoietic stem cells_CD133+ CD34dim"
"3038","Common myeloid progenitors"
"3039","Myeloid Dendritic Cells"
"3040","Common myeloid progenitors"
"3041","Colony Forming Unit-Monocytes"
"3042","Hematopoietic stem cells_CD133+ CD34dim"
"3043","Erythroid_CD34+ CD71+ GlyA-"
"3044","Hematopoietic stem cells_CD133+ CD34dim"
"3045","Common myeloid progenitors"
"3046","Common myeloid progenitors"
"3047","Erythroid_CD34+ CD71+ GlyA-"
"3048","Hematopoietic stem cells_CD133+ CD34dim"
"3049","Hematopoietic stem cells_CD133+ CD34dim"
"3050","Colony Forming Unit-Monocytes"
"3051","Megakaryocyte/erythroid progenitors"
"3052","Early B cells"
"3053","Megakaryocyte/erythroid progenitors"
"3054","Common myeloid progenitors"
"3055","Megakaryocyte/erythroid progenitors"
"3056","Colony Forming Unit-Monocytes"
"3057","Hematopoietic stem cells_CD133+ CD34dim"
"3058","Early B cells"
"3059","Hematopoietic stem cells_CD133+ CD34dim"
"3060","Erythroid_CD34+ CD71+ GlyA-"
"3061","Hematopoietic stem cells_CD133+ CD34dim"
"3062","Hematopoietic stem cells_CD133+ CD34dim"
"3063","Colony Forming Unit-Monocytes"
"3064","Plasmacytoid Dendritic Cells"
"3065","Common myeloid progenitors"
"3066","Erythroid_CD34+ CD71+ GlyA-"
"3067","Erythroid_CD34+ CD71+ GlyA-"
"3068","Plasmacytoid Dendritic Cells"
"3069","Hematopoietic stem cells_CD133+ CD34dim"
"3070","Hematopoietic stem cells_CD133+ CD34dim"
"3071","Hematopoietic stem cells_CD133+ CD34dim"
"3072","Early B cells"
"3073","Early B cells"
"3074","Common myeloid progenitors"
"3075","Hematopoietic stem cells_CD133+ CD34dim"
"3076","Hematopoietic stem cells_CD133+ CD34dim"
"3077","Erythroid_CD34- CD71lo GlyA+"
"3078","Erythroid_CD34+ CD71+ GlyA-"
"3079","Common myeloid progenitors"
"3080","Plasmacytoid Dendritic Cells"
"3081","Hematopoietic stem cells_CD133+ CD34dim"
"3082","Common myeloid progenitors"
"3083","Megakaryocyte/erythroid progenitors"
"3084","Hematopoietic stem cells_CD133+ CD34dim"
"3085","Hematopoietic stem cells_CD133+ CD34dim"
"3086","Hematopoietic stem cells_CD133+ CD34dim"
"3087","Common myeloid progenitors"
"3088","Colony Forming Unit-Granulocytes"
"3089","Erythroid_CD34+ CD71+ GlyA-"
"3090","Hematopoietic stem cells_CD133+ CD34dim"
"3091","Early B cells"
"3092","Common myeloid progenitors"
"3093","Megakaryocyte/erythroid progenitors"
"3094","Plasmacytoid Dendritic Cells"
"3095","Common myeloid progenitors"
"3096","Early B cells"
"3097","Hematopoietic stem cells_CD133+ CD34dim"
"3098","Common myeloid progenitors"
"3099","Megakaryocyte/erythroid progenitors"
"3100","Early B cells"
"3101","Hematopoietic stem cells_CD133+ CD34dim"
"3102","Hematopoietic stem cells_CD133+ CD34dim"
"3103","Hematopoietic stem cells_CD133+ CD34dim"
"3104","Hematopoietic stem cells_CD133+ CD34dim"
"3105","Erythroid_CD34+ CD71+ GlyA-"
"3106","Plasmacytoid Dendritic Cells"
"3107","Erythroid_CD34+ CD71+ GlyA-"
"3108","Hematopoietic stem cells_CD133+ CD34dim"
"3109","Colony Forming Unit-Monocytes"
"3110","Hematopoietic stem cells_CD133+ CD34dim"
"3111","Erythroid_CD34+ CD71+ GlyA-"
"3112","Hematopoietic stem cells_CD133+ CD34dim"
"3113","Plasmacytoid Dendritic Cells"
"3114","Hematopoietic stem cells_CD133+ CD34dim"
"3115","Hematopoietic stem cells_CD133+ CD34dim"
"3116","Common myeloid progenitors"
"3117","Hematopoietic stem cells_CD133+ CD34dim"
"3118","Common myeloid progenitors"
"3119","Monocytes"
"3120","Colony Forming Unit-Monocytes"
"3121","Erythroid_CD34- CD71+ GlyA+"
"3122","Monocytes"
"3123","Common myeloid progenitors"
"3124","Hematopoietic stem cells_CD133+ CD34dim"
"3125","Hematopoietic stem cells_CD133+ CD34dim"
"3126","Early B cells"
"3127","Common myeloid progenitors"
"3128","Hematopoietic stem cells_CD133+ CD34dim"
"3129","Hematopoietic stem cells_CD133+ CD34dim"
"3130","Erythroid_CD34+ CD71+ GlyA-"
"3131","Erythroid_CD34+ CD71+ GlyA-"
"3132","Common myeloid progenitors"
"3133","Hematopoietic stem cells_CD133+ CD34dim"
"3134","Hematopoietic stem cells_CD133+ CD34dim"
"3135","Hematopoietic stem cells_CD133+ CD34dim"
"3136","Hematopoietic stem cells_CD133+ CD34dim"
"3137","Common myeloid progenitors"
"3138","Common myeloid progenitors"
"3139","Common myeloid progenitors"
"3140","Hematopoietic stem cells_CD133+ CD34dim"
"3141","Hematopoietic stem cells_CD133+ CD34dim"
"3142","Hematopoietic stem cells_CD133+ CD34dim"
"3143","Plasmacytoid Dendritic Cells"
"3144","Mature NK cells_CD56- CD16- CD3-"
"3145","Hematopoietic stem cells_CD133+ CD34dim"
"3146","Megakaryocyte/erythroid progenitors"
"3147","Erythroid_CD34+ CD71+ GlyA-"
"3148","Erythroid_CD34+ CD71+ GlyA-"
"3149","Erythroid_CD34+ CD71+ GlyA-"
"3150","Erythroid_CD34+ CD71+ GlyA-"
"3151","Erythroid_CD34+ CD71+ GlyA-"
"3152","Hematopoietic stem cells_CD133+ CD34dim"
"3153","Early B cells"
"3154","Hematopoietic stem cells_CD38- CD34+"
"3155","Hematopoietic stem cells_CD133+ CD34dim"
"3156","Erythroid_CD34+ CD71+ GlyA-"
"3157","Common myeloid progenitors"
"3158","Hematopoietic stem cells_CD133+ CD34dim"
"3159","Hematopoietic stem cells_CD133+ CD34dim"
"3160","Myeloid Dendritic Cells"
"3161","Colony Forming Unit-Monocytes"
"3162","Colony Forming Unit-Monocytes"
"3163","Hematopoietic stem cells_CD133+ CD34dim"
"3164","Erythroid_CD34+ CD71+ GlyA-"
"3165","Erythroid_CD34- CD71lo GlyA+"
"3166","Hematopoietic stem cells_CD133+ CD34dim"
"3167","Hematopoietic stem cells_CD133+ CD34dim"
"3168","Colony Forming Unit-Monocytes"
"3169","Hematopoietic stem cells_CD133+ CD34dim"
"3170","Hematopoietic stem cells_CD133+ CD34dim"
"3171","Hematopoietic stem cells_CD133+ CD34dim"
"3172","Early B cells"
"3173","Common myeloid progenitors"
"3174","Hematopoietic stem cells_CD133+ CD34dim"
"3175","Common myeloid progenitors"
"3176","Early B cells"
"3177","Erythroid_CD34+ CD71+ GlyA-"
"3178","Erythroid_CD34+ CD71+ GlyA-"
"3179","Monocytes"
"3180","Megakaryocyte/erythroid progenitors"
"3181","Common myeloid progenitors"
"3182","Colony Forming Unit-Monocytes"
"3183","Common myeloid progenitors"
"3184","Erythroid_CD34+ CD71+ GlyA-"
"3185","Hematopoietic stem cells_CD133+ CD34dim"
"3186","Common myeloid progenitors"
"3187","Erythroid_CD34- CD71+ GlyA+"
"3188","Hematopoietic stem cells_CD133+ CD34dim"
"3189","Early B cells"
"3190","Common myeloid progenitors"
"3191","Hematopoietic stem cells_CD133+ CD34dim"
"3192","Common myeloid progenitors"
"3193","Hematopoietic stem cells_CD133+ CD34dim"
"3194","Early B cells"
"3195","Hematopoietic stem cells_CD133+ CD34dim"
"3196","Common myeloid progenitors"
"3197","Erythroid_CD34+ CD71+ GlyA-"
"3198","Hematopoietic stem cells_CD133+ CD34dim"
"3199","Hematopoietic stem cells_CD133+ CD34dim"
"3200","Common myeloid progenitors"
"3201","Hematopoietic stem cells_CD133+ CD34dim"
"3202","Common myeloid progenitors"
"3203","Erythroid_CD34+ CD71+ GlyA-"
"3204","Plasmacytoid Dendritic Cells"
"3205","Common myeloid progenitors"
"3206","Erythroid_CD34+ CD71+ GlyA-"
"3207","Common myeloid progenitors"
"3208","Hematopoietic stem cells_CD133+ CD34dim"
"3209","Hematopoietic stem cells_CD133+ CD34dim"
"3210","Early B cells"
"3211","Hematopoietic stem cells_CD133+ CD34dim"
"3212","Hematopoietic stem cells_CD133+ CD34dim"
"3213","Erythroid_CD34+ CD71+ GlyA-"
"3214","Hematopoietic stem cells_CD133+ CD34dim"
"3215","Hematopoietic stem cells_CD133+ CD34dim"
"3216","Early B cells"
"3217","Erythroid_CD34+ CD71+ GlyA-"
"3218","Hematopoietic stem cells_CD133+ CD34dim"
"3219","Plasmacytoid Dendritic Cells"
"3220","Common myeloid progenitors"
"3221","Common myeloid progenitors"
"3222","Hematopoietic stem cells_CD133+ CD34dim"
"3223","Early B cells"
"3224","Early B cells"
"3225","Common myeloid progenitors"
"3226","Erythroid_CD34+ CD71+ GlyA-"
"3227","Hematopoietic stem cells_CD38- CD34+"
"3228","Erythroid_CD34+ CD71+ GlyA-"
"3229","Hematopoietic stem cells_CD133+ CD34dim"
"3230","Hematopoietic stem cells_CD133+ CD34dim"
"3231","Erythroid_CD34- CD71+ GlyA+"
"3232","Common myeloid progenitors"
"3233","Plasmacytoid Dendritic Cells"
"3234","Plasmacytoid Dendritic Cells"
"3235","Early B cells"
"3236","Megakaryocyte/erythroid progenitors"
"3237","Myeloid Dendritic Cells"
"3238","Hematopoietic stem cells_CD133+ CD34dim"
"3239","Hematopoietic stem cells_CD133+ CD34dim"
"3240","Hematopoietic stem cells_CD133+ CD34dim"
"3241","Hematopoietic stem cells_CD133+ CD34dim"
"3242","Hematopoietic stem cells_CD133+ CD34dim"
"3243","Common myeloid progenitors"
"3244","Early B cells"
"3245","Erythroid_CD34- CD71+ GlyA+"
"3246","Hematopoietic stem cells_CD133+ CD34dim"
"3247","Erythroid_CD34+ CD71+ GlyA-"
"3248","Early B cells"
"3249","Plasmacytoid Dendritic Cells"
"3250","Colony Forming Unit-Monocytes"
"3251","Common myeloid progenitors"
"3252","Early B cells"
"3253","Early B cells"
"3254","Early B cells"
"3255","Erythroid_CD34+ CD71+ GlyA-"
"3256","Hematopoietic stem cells_CD133+ CD34dim"
"3257","Hematopoietic stem cells_CD133+ CD34dim"
"3258","Hematopoietic stem cells_CD133+ CD34dim"
"3259","Hematopoietic stem cells_CD133+ CD34dim"
"3260","Colony Forming Unit-Monocytes"
"3261","Common myeloid progenitors"
"3262","Common myeloid progenitors"
"3263","Erythroid_CD34+ CD71+ GlyA-"
"3264","Hematopoietic stem cells_CD133+ CD34dim"
"3265","Megakaryocyte/erythroid progenitors"
"3266","Erythroid_CD34- CD71+ GlyA+"
"3267","Monocytes"
"3268","Erythroid_CD34- CD71+ GlyA+"
"3269","Common myeloid progenitors"
"3270","Common myeloid progenitors"
"3271","Erythroid_CD34+ CD71+ GlyA-"
"3272","Hematopoietic stem cells_CD133+ CD34dim"
"3273","Early B cells"
"3274","Common myeloid progenitors"
"3275","Early B cells"
"3276","Hematopoietic stem cells_CD133+ CD34dim"
"3277","Hematopoietic stem cells_CD133+ CD34dim"
"3278","Common myeloid progenitors"
"3279","Common myeloid progenitors"
"3280","Hematopoietic stem cells_CD133+ CD34dim"
"3281","Common myeloid progenitors"
"3282","Hematopoietic stem cells_CD133+ CD34dim"
"3283","Common myeloid progenitors"
"3284","Megakaryocyte/erythroid progenitors"
"3285","Common myeloid progenitors"
"3286","Common myeloid progenitors"
